Package Name,Average Size (KB)
icbc,78.5830078125
Geode-Common,3125.42962504835
sokort,91.32080078125
barbuilder,6.66845703125
wind-parser,7.648681640625
pylibpostal,2038.4763997395833
isocompy,63.281087239583336
http-backuper,7.601111778846154
py-clickhouse-migrator,2658.8020833333335
licensedcode-data,17528.71923828125
FireDM,146.83642578125
tcmarkers,5.535807291666667
pybats,305.7574573863636
r614-config,4.80419921875
tcp-modbus-aio,10.039388020833334
few-shot-priming,4101.798416535881
spriteutils-4,3.22900390625
linknlink,9.544347426470589
django-pdb-pudb,7.4814453125
automate-sonos-plugin,12.274739583333334
mini-lightning,20.645786830357142
whylogs-container-client,32.068658854166664
guardshield,19.444513494318183
rpi5-ws2812,4.45703125
crazyMathLib,1.08203125
cloudscript,6.9306640625
fib-py-nkandy44,3.4638671875
clever-alexis,53.659375
odoo10-addon-website-multi-theme,47.090705422794116
ae-kivy-glsl,22.010606553819443
pagebot,9237.92765727796
distributionsppk,3.1552734375
python-input,2.2960611979166665
Simple-SysLog-Handler,1.9658203125
avtoolkit,4.621419270833333
tutor-contrib-k8s-deploy-tasks,228.29497327302633
Matridge,28.025634765625
pyltk,5.969482421875
mspasspy,2232.3756510416665
bqpjson,7.694091796875
ign-borea,69.96223958333333
PuzzleSolver,1.45166015625
test-code2005,316.8056640625
rtorsh,5.287760416666667
annalise-confluence-junction,37.439860026041664
adafruit-circuitpython-bluefruitspi,23.362141927083332
python-stream-iter,16.6162109375
pyome,1.23486328125
fastapi-logging,4.014594184027778
httprama,5361.735595703125
assistant-lib,9.902193509615385
docy,1.775390625
python-autocast,3.2107421875
pypkgs-gs,2.244140625
fit-cli,13.445638020833334
llmo,12.085662841796875
alibabacloud-cams20200606-py2,27.113636363636363
CantrelleJouisseMamannVF,5.6328125
pipeflow,4.873046875
astmareq1,7.7822265625
usa_today,3.658203125
odoo8-addon-website-sale-category-megamenu,25.157389322916668
ndn-python-svs,20.236653645833332
synergy-odm,6.255161830357143
ipgrab,1.58203125
wilds,79.82677283653847
antchain-ak-b0bf8e7efff240d69678028eeb721a2f,7.99609375
odoo12-addon-stock-barcodes-supplierinfo,21.37060546875
asyncom,8.394147600446429
SharingAttention,6.2216796875
covirus,1036.93017578125
skit-fixdf,21.237830528846153
niugdelt,7.48779296875
threadingwebdriver,5.7916259765625
anime-downloader,103.1930731411638
ganx,31.75341796875
zaigonhack,2.00830078125
reflectutils,3.3984375
toparu-arushigupta,2.757568359375
programmify,182.402099609375
odoo9-addon-crm-claim-rma-code,12.308203125
everlib,7.16015625
odoo14-addon-shipment-advice-bill-auto-complete,28.530517578125
gureypdf,1.3125
llama-index-callbacks-agentops,4.193359375
odoo8-addon-web-widget-text-markdown,144.966796875
collective.portlet.collectionfilter,17.84027777777778
vyd-coala-bears,251.7353515625
fastapi-fast-template,26.914271763392858
datalad-catalog,3534.273681640625
fastremap,1843.6155966481854
aa-policy-validator,4.740373883928571
caliatestpy,2.03955078125
wnhelloworldpackage,2.37060546875
viper-python,3.22734375
antchain-ak-7257696016e54ac8a1e0ed2d532c3c09,9.36669921875
bridge-ds,36.073046875
taskara,32.363566653829224
flyplotlib,11.949055989583334
jax-control-algorithms,18.124072265625
flora-blockchain,774.14453125
opt4py,3.75341796875
dequote-annotations,4.431803385416667
django-classified,255.9375232514881
toiro,606.1241455078125
input-detect,2.00537109375
listenmoe,3.92333984375
sweetcase,5.8986328125
CVAT-Video-Annotation-Processor,4.400390625
nasbench-keras,10.98681640625
odoo14-addon-stock-picking-quick,266.23359375
db-sync-tool-kmi,32.7566977446934
ffpass-next,8.881103515625
DeepMusicshot,32.71630859375
dendrify,30.13525390625
codecombat,21.838704427083332
onegov.shared,5.6177978515625
odoo14-addons-oca-project,1.5091231496710527
wavesurfer,40.1875
cerebro-toolkit,31.670654296875
project-one,0.98193359375
toolkit-owan2,3.2900390625
ats-ckonlpy,1013.82958984375
codexregius,1.8412873641304348
nikusha5pdf,13.51611328125
django-menuz,79.01025390625
yooncloud-dart,25.3890380859375
odoo14-addon-stock-warehouse-analytic,20.775065104166668
wakalinus,30.6296875
MikhailP-django-blog,9.0263671875
intake-dataframe-catalog,25.879947916666666
CGBp-dist,3.142578125
tundra-xaxlib-python,10.2802734375
Isconna,7.93115234375
cntn,7.0068359375
uptick-observability,35.4302978515625
pyadham,1.11572265625
internal-fileupload-django,6.1904296875
sgp,222.24310980902777
webull-options,24.0222578125
generateMFT,4.634765625
configsimple,18.5865478515625
pythoneasy,1.9337890625
yara-helper,3.9119873046875
bgfactory,21.6767578125
auto-blueprints,4.223876953125
easyEmbed,7.561279296875
fixations,2565.5475565592446
msg_cln,9.38671875
napalm-ibm,2.8544921875
jbof,11.0873046875
cookiestream,9.201939174107142
oxbumpy,13.26123046875
cfcli,3.2307942708333335
cohort-generator,4.008021763392857
statistics-bioresearch,3.6025390625
flask-jwt-router,74.57085681352459
ldbg-jsonrpc,2.84228515625
silicon-clustering,14.679361979166666
onetrigger,5.908203125
yandex_adult_grimhold_schedule,1.09765625
surflink,10.990478515625
thesis-experiment-test,1.4254150390625
crypticbackslash,1.1162109375
ovos-utterance-corrections-plugin,6.916829427083333
